Region,Forest Percentage(1990),Forest Percentage(2000),Forest Percentage(2010),Forest Percentage(2015),Forest Percentage(2020),Total Area(Sq.Km.)
WORLD,32.58043082365608,31.977616857648233,31.579765746366224,31.40711743443821,31.215341152041837,130030000.0
Afghanistan,1.8509940875532274,1.8509940875532274,1.8509940875532274,1.8509940875532274,1.8509940875532274,652860.0
Albania,28.788321167883208,28.076642335766422,28.542700729927006,28.802554744525548,28.791970802919707,27400.0
Algeria,0.699908470278032,0.6629606926028869,0.8052936088741844,0.8212483310520879,0.8183093032824742,2381740.0
American Samoa,90.35,88.65,87.14999999999999,86.4,85.64999999999999,200.0
Andorra,34.04255319148936,34.04255319148936,34.04255319148936,34.04255319148936,34.04255319148936,470.0
Angola,63.5780701050774,62.3314430095452,57.87920109087993,55.653076120959334,53.42695115103875,1246700.0
Anguilla,61.111111111111114,61.111111111111114,61.111111111111114,61.111111111111114,61.111111111111114,90.0
Antigua and Barbuda,22.977272727272727,21.477272727272727,19.954545454545453,19.204545454545453,18.454545454545453,440.0
Argentina,12.863714925694907,12.196485535446104,11.040344357599874,10.63218705808842,10.440714878192269,2736690.0
Armenia,11.75728837372673,11.683877766069546,11.610818405338954,11.574288724973655,11.537407797681771,28470.0
Aruba,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,180.0
Australia,17.42735899405126,17.1581557606446,16.862931674108015,17.324824596800436,17.443356807206175,7682300.0
Austria,45.75460494425594,46.51163354338342,46.815317498788175,47.033325254483756,47.25096946194862,82520.0
Azerbaijan,11.429228163561579,11.94314057585289,12.490805710137915,13.040043551899346,13.691870312121946,82660.0
Bahamas,50.935064935064936,50.935064935064936,50.935064935064936,50.935064935064936,50.935064935064936,10010.0
Bahrain,0.2857142857142857,0.48051948051948057,0.6753246753246753,0.7792207792207793,0.9090909090909091,770.0
Bangladesh,14.75247752938465,14.75247752938465,14.506721978950601,14.468771606360914,14.468771606360914,130170.0
Barbados,14.651162790697676,14.651162790697676,14.651162790697676,14.651162790697676,14.651162790697676,430.0
Belarus,38.329277064509455,40.75811171654071,42.516923016287485,42.53416626432421,43.1948289962459,202978.0
Belgium,22.37120211360634,22.037648612945837,22.783025099075296,22.764200792602377,22.764200792602377,30280.0
Belize,70.14598860149057,63.976326172731255,60.99912319158264,58.43182814555019,55.986409469530905,22810.0
Benin,42.88001064207165,36.67213550904576,32.23793898545584,30.020840723660875,27.80374246186591,112760.0
Bermuda,20.0,20.0,20.0,20.0,20.0,50.0
Bhutan,65.75865687303252,68.36306400839455,70.96773347324239,71.22717733473242,71.4868835257083,38120.0
Bolivia (Plurinational State of),53.35984491830518,50.864386596510656,49.00397858395643,48.02660389550448,46.92491461275732,1083300.0
"Bonaire, Sint Eustatius and Saba",5.93167701863354,5.93167701863354,5.93167701863354,5.93167701863354,5.93167701863354,322.0
Bosnia and Herzegovina,43.1640625,41.24316406250001,41.067578125,42.197265625,42.7326171875,51200.0
Botswana,33.179291726218835,31.091877966580206,29.004464206941577,27.960757327122266,26.917050447302948,566730.0
Brazil,70.45802056438394,65.93435860131561,61.20748156886581,60.28671450825184,59.41747805133678,8358140.0
British Virgin Islands,24.73333333333333,24.46666666666667,24.266666666666666,24.133333333333333,24.133333333333333,150.0
Brunei Darussalam,78.36812144212524,75.33206831119544,72.10626185958255,72.10626185958255,72.10626185958255,5270.0
Bulgaria,30.646647015475313,31.08879882092852,34.42336035372144,35.30766396462786,35.86035372144436,108560.0
Burkina Faso,28.203947368421055,26.37609649122807,24.54861111111111,23.63450292397661,22.720760233918128,273600.0
Burundi,10.766355140186915,7.5521806853582545,7.5521806853582545,10.889408099688474,10.889408099688474,25680.0
Cabo Verde,3.816377171215881,9.856079404466502,10.600496277915633,10.972704714640198,11.344913151364763,4030.0
Cambodia,62.34302062089282,61.07523226829821,59.98883979152504,50.11794697484704,45.70796510310446,176520.0
Cameroon,47.59789299993653,45.68866747054219,44.2141693638806,43.62184002877028,43.02951069365996,472710.0
